id,name,family,price
1,Violet Sweatshirt,Sweatshirt,98.4
2,Thistle Shirt,Shirt,81.42
3,DarkOrchid Sweatshirt,Sweatshirt,62.4
4,Moccasin Shirt,Shirt,73.03
5,ForestGreen Sweatshirt,Sweatshirt,44.42
6,Brown Shirt,Shirt,95.22
7,Black Sweatshirt,Sweatshirt,35.69
8,LightSkyBlue Shirt,Shirt,89.0
9,Indigo Sweatshirt,Sweatshirt,51.86
10,MediumBlue Shirt,Shirt,71.08
11,DarkMagenta Sweatshirt,Sweatshirt,98.06
12,Blue Shirt,Shirt,42.88
13,MediumTurquoise Shirt,Shirt,78.12
14,ForestGreen Jacket,Jacket,28.56
15,Moccasin Jacket,Jacket,20.29
16,Black Sweatshirt,Sweatshirt,96.31
17,Pink Shirt,Shirt,44.57
18,Snow Jacket,Jacket,23.44
19,MediumVioletRed Sweatshirt,Sweatshirt,68.46
20,Silver Sweatshirt,Sweatshirt,70.76
21,DarkSeaGreen Sweatshirt,Sweatshirt,80.94
22,LightGoldenRodYellow Sweatshirt,Sweatshirt,27.69
23,SkyBlue Shirt,Shirt,64.76
24,Red Shirt,Shirt,28.86
25,DarkSlateBlue Shirt,Shirt,89.6
26,Silver Shirt,Shirt,93.32
27,Cyan Jacket,Jacket,44.94
28,Red Jacket,Jacket,32.85
29,PaleTurquoise Sweatshirt,Sweatshirt,34.9
30,LightBlue Jacket,Jacket,81.85
31,BlueViolet Shirt,Shirt,77.27
32,Black Shirt,Shirt,92.48
33,Chocolate Sweatshirt,Sweatshirt,85.98
34,OrangeRed Shirt,Shirt,95.64
35,MediumSeaGreen Sweatshirt,Sweatshirt,39.74
36,LightGreen Sweatshirt,Sweatshirt,30.17
37,MediumTurquoise Sweatshirt,Sweatshirt,98.5
38,LemonChiffon Sweatshirt,Sweatshirt,27.98
39,LavenderBlush Sweatshirt,Sweatshirt,98.07
40,OliveDrab Sweatshirt,Sweatshirt,82.54
41,Green Sweatshirt,Sweatshirt,51.73
42,Teal Shirt,Shirt,46.42
43,SlateBlue Shirt,Shirt,82.64
44,Green Sweatshirt,Sweatshirt,78.17
45,PaleTurquoise Sweatshirt,Sweatshirt,26.26
46,SeaShell Sweatshirt,Sweatshirt,52.34
47,MediumOrchid Shirt,Shirt,31.41
